ticker,date,close
20MICRONS.NS,2026-07-06,196.07000732421875
20MICRONS.NS,2026-07-07,195.52999877929688
20MICRONS.NS,2026-07-08,192.3300018310547
20MICRONS.NS,2026-07-09,193.94000244140625
20MICRONS.NS,2026-07-10,198.33999633789065
20MICRONS.NS,2026-07-13,202.4499969482422
3IINFOLTD.NS,2026-07-06,17.56999969482422
3IINFOLTD.NS,2026-07-07,17.469999313354492
3IINFOLTD.NS,2026-07-08,18.07999992370605
3IINFOLTD.NS,2026-07-09,18.239999771118164
3IINFOLTD.NS,2026-07-10,18.770000457763672
3IINFOLTD.NS,2026-07-13,18.68000030517578
500170.BO,2026-07-06,21.020000457763672
500170.BO,2026-07-07,22.46999931335449
500170.BO,2026-07-08,21.90999984741211
500170.BO,2026-07-09,22.0
500170.BO,2026-07-10,21.940000534057617
500170.BO,2026-07-13,22.5
500239.BO,2026-07-06,15.699999809265137
500239.BO,2026-07-07,15.40999984741211
500239.BO,2026-07-08,14.960000038146973
500239.BO,2026-07-09,15.109999656677246
500239.BO,2026-07-10,15.15999984741211
500239.BO,2026-07-13,15.130000114440918
500319.BO,2026-07-06,72.80999755859375
500319.BO,2026-07-07,73.05000305175781
500319.BO,2026-07-08,73.76000213623047
500319.BO,2026-07-09,73.54000091552734
500319.BO,2026-07-10,75.01000213623047
500319.BO,2026-07-13,74.98999786376953
500388.BO,2026-07-06,100.0
500388.BO,2026-07-07,100.0
500388.BO,2026-07-08,105.0
500388.BO,2026-07-09,105.0
500388.BO,2026-07-10,99.75
500388.BO,2026-07-13,95.0
500426.BO,2026-07-06,1.690000057220459
500426.BO,2026-07-07,1.6799999475479126
500426.BO,2026-07-08,1.690000057220459
500426.BO,2026-07-09,1.6699999570846558
500426.BO,2026-07-10,1.690000057220459
500426.BO,2026-07-13,1.6299999952316284
500449.BO,2026-07-06,39.9900016784668
500449.BO,2026-07-07,39.45000076293945
500449.BO,2026-07-08,37.47999954223633
500449.BO,2026-07-09,36.63999938964844
500449.BO,2026-07-10,37.06999969482422
500449.BO,2026-07-13,36.90999984741211
501314.BO,2026-07-06,0.6000000238418579
501314.BO,2026-07-07,0.5799999833106995
501314.BO,2026-07-08,0.6100000143051147
501314.BO,2026-07-09,0.5899999737739563
501314.BO,2026-07-10,0.6000000238418579
501314.BO,2026-07-13,0.6000000238418579
502294.BO,2026-07-06,42.93999862670898
502294.BO,2026-07-07,40.83000183105469
502294.BO,2026-07-08,39.97999954223633
502294.BO,2026-07-09,40.38999938964844
502294.BO,2026-07-10,41.79999923706055
502294.BO,2026-07-13,40.0
502850.BO,2026-07-06,15.029999732971191
502850.BO,2026-07-07,15.029999732971191
502850.BO,2026-07-08,15.029999732971191
502850.BO,2026-07-09,15.029999732971191
502850.BO,2026-07-10,15.029999732971191
502850.BO,2026-07-13,15.029999732971191
503659.BO,2026-07-06,133.89999389648438
503659.BO,2026-07-07,140.5500030517578
503659.BO,2026-07-08,146.10000610351562
503659.BO,2026-07-09,152.9499969482422
503659.BO,2026-07-10,160.5500030517578
503659.BO,2026-07-13,168.5500030517578
503685.BO,2026-07-06,15.399999618530272
503685.BO,2026-07-07,14.649999618530272
503685.BO,2026-07-08,14.5
503685.BO,2026-07-09,13.779999732971191
503685.BO,2026-07-10,13.380000114440918
503685.BO,2026-07-13,13.93000030517578
503772.BO,2026-07-06,56.5
503772.BO,2026-07-07,56.5
503772.BO,2026-07-08,56.5
503772.BO,2026-07-09,56.5
503772.BO,2026-07-10,56.5
503772.BO,2026-07-13,55.95000076293945
503804.BO,2026-07-06,349.75
503804.BO,2026-07-07,340.3500061035156
503804.BO,2026-07-08,346.3500061035156
503804.BO,2026-07-09,341.75
503804.BO,2026-07-10,347.75
503804.BO,2026-07-13,345.6000061035156
504176.BO,2026-07-06,559.25
504176.BO,2026-07-07,564.8499755859375
504176.BO,2026-07-08,556.4500122070312
504176.BO,2026-07-09,562.6500244140625
504176.BO,2026-07-10,593.0999755859375
504176.BO,2026-07-13,613.7000122070312
504180.BO,2026-07-06,48.470001220703125
504180.BO,2026-07-07,48.119998931884766
504180.BO,2026-07-08,47.29999923706055
504180.BO,2026-07-09,48.59999847412109
504180.BO,2026-07-10,49.20000076293945
504180.BO,2026-07-13,49.7599983215332
504356.BO,2026-07-06,11.850000381469728
504356.BO,2026-07-07,11.850000381469728
504356.BO,2026-07-08,11.850000381469728
504356.BO,2026-07-09,11.850000381469728
504356.BO,2026-07-10,11.850000381469728
504356.BO,2026-07-13,11.260000228881836
504378.BO,2026-07-06,2.4100000858306885
504378.BO,2026-07-07,2.3299999237060547
504378.BO,2026-07-08,2.380000114440918
504378.BO,2026-07-09,2.319999933242798
504378.BO,2026-07-10,2.369999885559082
504378.BO,2026-07-13,2.4800000190734863
504397.BO,2026-07-06,87.51000213623047
504397.BO,2026-07-07,83.6500015258789
504397.BO,2026-07-08,87.83000183105469
504397.BO,2026-07-09,83.6500015258789
504397.BO,2026-07-10,82.75
504397.BO,2026-07-13,79.5
504605.BO,2026-07-06,5579.4501953125
504605.BO,2026-07-07,5716.0
504605.BO,2026-07-08,5682.7998046875
504605.BO,2026-07-09,5574.5
504605.BO,2026-07-10,5601.2001953125
504605.BO,2026-07-13,5626.7001953125
504646.BO,2026-07-06,488.1000061035156
