symbol,name,exchange,isin
CEIGALL,Ceigall India Limited,NSE,INE0AG901020
CEINSYS,Ceinsys Tech Limited,NSE,INE016Q01014
CELEBRITY,Celebrity Fashions Limited,NSE,INE185H01016
CELLO,Cello World Limited,NSE,INE0LMW01024
CEMPRO,Cemindia Projects Limited,NSE,INE686A01026
CENTENKA,Century Enka Limited,NSE,INE485A01015
CENTEXT,Century Extrusions Limited,NSE,INE281A01026
CENTRALBK,Central Bank of India,NSE,INE483A01010
CENTRUM,Centrum Capital Limited,NSE,INE660C01027
CENTUM,Centum Electronics Limited,NSE,INE320B01020
CENTURYPLY,Century Plyboards (India) Limited,NSE,INE348B01021
CERA,Cera Sanitaryware Limited,NSE,INE739E01017
CEREBRAINT,Cerebra Integrated Technologies Limited,NSE,INE345B01019
CESC,CESC Limited,NSE,INE486A01021
CEWATER,Concord Enviro Systems Limited,NSE,INE037Z01029
CFEL,Confidence Futuristic Energetech Limited,NSE,INE700F01024
CGCL,Capri Global Capital Limited,NSE,INE180C01042
CGPOWER,CG Power and Industrial Solutions Limited,NSE,INE067A01029
CGVAK,CG Vak Software & Exports Limited,NSE,INE084D01010
CHALET,Chalet Hotels Limited,NSE,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,NSE,INE085A01013
CHEMBOND,Chembond Material Technologies Limited,NSE,INE995D01025
CHEMBONDCH,Chembond Chemicals Limited,NSE,INE0TGX01019
CHEMCON,Chemcon Speciality Chemicals Limited,NSE,INE03YM01018
CHEMCRUX,Chemcrux Enterprises Limited,NSE,INE298W01016
CHEMFAB,Chemfab Alkalis Limited,NSE,INE783X01023
CHEMPLASTS,Chemplast Sanmar Limited,NSE,INE488A01050
CHENNPETRO,Chennai Petroleum Corporation Limited,NSE,INE178A01016
CHEVIOT,Cheviot Company Limited,NSE,INE974B01016
CHOICEIN,Choice International Limited,NSE,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,NSE,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,NSE,INE149A01033
CIEINDIA,CIE Automotive India Limited,NSE,INE536H01010
CIFL,Capital India Finance Limited,NSE,INE345H01024
CINELINE,Cineline India Limited,NSE,INE704H01022
CINEVISTA,Cinevista Limited,NSE,INE039B01026
CIPLA,Cipla Limited,NSE,INE059A01026
CLCIND,CLC Industries Limited,NSE,INE376C01038
CLEAN,Clean Science and Technology Limited,NSE,INE227W01023
CLEANMAX,Clean Max Enviro Energy Solutions Limited,NSE,INE647U01026
CLEDUCATE,CL Educate Limited,NSE,INE201M01029
CLSEL,Chaman Lal Setia Exports Limited,NSE,INE419D01026
CMLL,Caliber Mining and Logistics Limited,NSE,INE11XY01018
CMPDI,Central Mine Planning & Design Institute Limited,NSE,INE05HV01027
CMRGREEN,CMR Green Technologies Limited,NSE,INE00WV01027
CMSINFO,CMS Info Systems Limited,NSE,INE925R01014
CNL,Creative Newtech Limited,NSE,INE985W01018
COALINDIA,Coal India Limited,NSE,INE522F01014
COASTCORP,Coastal Corporation Limited,NSE,INE377E01024
COCHINSHIP,Cochin Shipyard Limited,NSE,INE704P01025
COCKERILL,John Cockerill India Limited,NSE,INE515A01019
COFFEEDAY,Coffee Day Enterprises Limited,NSE,INE335K01011
COFORGE,Coforge Limited,NSE,INE591G01025
COHANCE,Cohance Lifesciences Limited,NSE,INE03QK01018
COLPAL,Colgate Palmolive (India) Limited,NSE,INE259A01022
COMFINTE,Comfort Intech Limited,NSE,INE819A01049
COMPEAU,Competent Automobiles Company Limited,NSE,INE823B01015
COMPINFO,Compuage Infocom Limited,NSE,INE070C01037
COMPUSOFT,Compucom Software Limited,NSE,INE453B01029
COMSYN,Commercial Syn Bags Limited,NSE,INE073V01015
CONCOR,Container Corporation of India Limited,NSE,INE111A01025
CONCORDBIO,Concord Biotech Limited,NSE,INE338H01029
CONFIPET,Confidence Petroleum India Limited,NSE,INE552D01024
CONSOFINVT,Consolidated Finvest & Holdings Limited,NSE,INE025A01027
CONTROLPR,Control Print Limited,NSE,INE663B01015
CORALFINAC,Coral India Finance & Housing Limited,NSE,INE558D01021
CORDELIA,Waterways Leisure Tourism Limited,NSE,INE0LZF01039
CORDSCABLE,Cords Cable Industries Limited,NSE,INE792I01017
COROMANDEL,Coromandel International Limited,NSE,INE169A01031
CORONA,CORONA Remedies Limited,NSE,INE02ZQ01018
COSMOFIRST,COSMO FIRST LIMITED,NSE,INE757A01017
COUNCODOS,Country Condo's Limited,NSE,INE695B01025
CPCAP,CP Capital Limited,NSE,INE521J01018
CPEDU,Career Point Edutech Limited,NSE,INE0P6P01016
CPL,Captain Polyplast Limited,NSE,INE536P01021
CPPLUS,Aditya Infotech Limited,NSE,INE819V01029
CRAFTSMAN,Craftsman Automation Limited,NSE,INE00LO01017
CRAMC,Canara Robeco Asset Management Company Limited,NSE,INE218I01013
CRAVATEX,Cravatex Limited,NSE,INE145E01017
CREATIVEYE,Creative Eye Limited,NSE,INE230B01021
CREDITACC,CREDITACCESS GRAMEEN LIMITED,NSE,INE741K01010
CREST,Crest Ventures Limited,NSE,INE559D01011
CRISIL,Crisil Limited,NSE,INE007A01025
CRIZAC,Crizac Limited,NSE,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Limited,NSE,INE299U01018
CROWN,Crown Lifters Limited,NSE,INE491V01019
CRSL,Cressanda Railway Solutions Limited,NSE,INE716D01033
CSBBANK,CSB Bank Limited,NSE,INE679A01013
CSLFINANCE,CSL Finance Limited,NSE,INE718F01018
CSM,CSM Technologies Limited,NSE,INE0ZK601013
CTE,Cambridge Technology Enterprises Limited,NSE,INE627H01017
CUB,City Union Bank Limited,NSE,INE491A01021
CUBEXTUB,Cubex Tubings Limited,NSE,INE144D01012
CUMMINSIND,Cummins India Limited,NSE,INE298A01020
CUPID,Cupid Limited,NSE,INE509F01029
CURAA,Cura Technologies Limited,NSE,INE117B01020
CYBERMEDIA,Cyber Media (India) Limited,NSE,INE278G01037
CYBERTECH,Cybertech Systems And Software Limited,NSE,INE214A01019
CYIENT,Cyient Limited,NSE,INE136B01020
CYIENTDLM,Cyient DLM Limited,NSE,INE055S01018
DABUR,Dabur India Limited,NSE,INE016A01026
DAICHI,Dai-Ichi Karkaria Limited,NSE,INE928C01010
DALBHARAT,Dalmia Bharat Limited,NSE,INE00R701025
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE,INE495A01022
DAMCAPITAL,Dam Capital Advisors Limited,NSE,INE284H01025
DAMODARIND,Damodar Industries Limited,NSE,INE497D01022
DANGEE,Dangee Dums Limited,NSE,INE688Y01022
DATAMATICS,Datamatics Global Services Limited,NSE,INE365B01017
DATAPATTNS,Data Patterns (India) Limited,NSE,INE0IX101010
DAVANGERE,Davangere Sugar Company Limited,NSE,INE179G01029
DBCORP,D.B.Corp Limited,NSE,INE950I01011
DBEIL,Deepak Builders & Engineers India Limited,NSE,INE0OPA01027
DBL,Dilip Buildcon Limited,NSE,INE917M01012
DBOL,Dhampur Bio Organics Limited,NSE,INE0I3401014
DBREALTY,Valor Estate Limited,NSE,INE879I01012
DBSTOCKBRO,DB (International) Stock Brokers Limited,NSE,INE921B01025
DCAL,Dishman Carbogen Amcis Limited,NSE,INE385W01011
DCBBANK,DCB Bank Limited,NSE,INE503A01015
DCI,Dc Infotech And Communication Limited,NSE,INE0A1101019
DCM,DCM  Limited,NSE,INE498A01018
DCMFINSERV,DCM Financial Services Limited,NSE,INE891B01012
DCMNVL,DCM Nouvelle Limited,NSE,INE08KP01019
DCMSHRIRAM,DCM Shriram Limited,NSE,INE499A01024
DCMSIL,DCM Shriram International Limited,NSE,INE0OU201013
DCMSRIND,DCM Shriram Industries Limited,NSE,INE843D01027
DCW,DCW Limited,NSE,INE500A01029
DCXINDIA,DCX Systems Limited,NSE,INE0KL801015
DDEVPLSTIK,Ddev Plastiks Industries Limited,NSE,INE0HR601026
DECCANCE,Deccan Cements Limited,NSE,INE583C01021
DECNGOLD,Deccan Gold Mines Limited,NSE,INE945F01025
DEEDEV,DEE Development Engineers Limited,NSE,INE841L01016
DEEP,Deep Polymers Limited,NSE,INE00IY01012
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,NSE,INE501A01019
DEEPAKNTR,Deepak Nitrite Limited,NSE,INE288B01029
DEEPINDS,Deep Industries Limited,NSE,INE0FHS01024
DELHIVERY,Delhivery Limited,NSE,INE148O01028
DELPHIFX,DELPHI WORLD MONEY LIMITED,NSE,INE726L01027
DELTACORP,Delta Corp Limited,NSE,INE124G01033
DELTAMAGNT,Delta Manufacturing Limited,NSE,INE393A01011
DEN,Den Networks Limited,NSE,INE947J01015
DENORA,De Nora India Limited,NSE,INE244A01016
DENTA,Denta Water and Infra Solutions Limited,NSE,INE0R4L01018
DEVIT,Dev Information Technology Limited,NSE,INE060X01034
DEVX,Dev Accelerator Limited,NSE,INE0VOV01021
DEVYANI,Devyani International Limited,NSE,INE872J01023
DGCONTENT,Digicontent Limited,NSE,INE03JI01017
DHABRIYA,Dhabriya Polywood Limited,NSE,INE260R01016
DHAMPURSUG,Dhampur Sugar Mills Limited,NSE,INE041A01016
DHANBANK,Dhanlaxmi Bank Limited,NSE,INE680A01011
DHANUKA,Dhanuka Agritech Limited,NSE,INE435G01025
DHARAN,DHARAN INFRA-EPC LIMITED,NSE,INE278R01034
DHARMAJ,Dharmaj Crop Guard Limited,NSE,INE00OQ01016
DHATRE,Dhatre Udyog Limited,NSE,INE715T01031
DHOOTTRANS,Dhoot Transmission Limited,NSE,INE01NH01023
DHRUV,Dhruv Consultancy Services Limited,NSE,INE506Z01015
DHUNINV,Dhunseri Investments Limited,NSE,INE320L01011
DIACABS,Diamond Power Infrastructure Limited,NSE,INE989C01038
DIAMINESQ,Diamines & Chemicals Limited,NSE,INE591D01014
DIAMONDYD,Prataap Snacks Limited,NSE,INE393P01035
DICIND,DIC India Limited,NSE,INE303A01010
DIFFNKG,Diffusion Engineers Limited,NSE,INE184O01015
DIGIDRIVE,Digidrive Distributors Limited,NSE,INE0PSC01024
DIGISPICE,DiGiSPICE Technologies Limited,NSE,INE927C01020
DIGITIDE,Digitide Solutions Limited,NSE,INE0U4701011
DIGJAMLMTD,Digjam Limited,NSE,INE731U01028
DISAQ,Disa India Limited,NSE,INE131C01011
DISHTV,Dish TV India Limited,NSE,INE836F01026
DIVGIITTS,Divgi Torqtransfer Systems Limited,NSE,INE753U01022
DIVISLAB,Divi's Laboratories Limited,NSE,INE361B01024
DIXON,Dixon Technologies (India) Limited,NSE,INE935N01020
DJML,DJ Mediaprint & Logistics Limited,NSE,INE0B1K01014
DLF,DLF Limited,NSE,INE271C01023
DLINKINDIA,D-Link (India) Limited,NSE,INE250K01012
DMART,Avenue Supermarts Limited,NSE,INE192R01011
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,NSE,INE505A01010
DNAMEDIA,Diligent Media Corporation Limited,NSE,INE016M01021
DODLA,Dodla Dairy Limited,NSE,INE021O01019
DOLATALGO,Dolat Algotech Limited,NSE,INE966A01022
DOLLAR,Dollar Industries Limited,NSE,INE325C01035
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,NSE,INE920A01037
DOMS,DOMS Industries Limited,NSE,INE321T01012
DONEAR,Donear Industries Limited,NSE,INE668D01028
DPABHUSHAN,D. P. Abhushan Limited,NSE,INE266Y01019
DPSCLTD,DPSC Limited,NSE,INE360C01024
DPWIRES,D P Wires Limited,NSE,INE864X01013
DRAGARWQ,Dr Agarwals Eye Hospital Limited,NSE,INE934C01018
DRCSYSTEMS,DRC Systems India Limited,NSE,INE03RS01027
DREAMFOLKS,Dreamfolks Services Limited,NSE,INE0JS101016
DREDGECORP,Dredging Corporation of India Limited,NSE,INE506A01018
DRREDDY,Dr. Reddy's Laboratories Limited,NSE,INE089A01031
DSFCL,DCM Shriram Fine Chemicals Limited,NSE,INE0OFM01015
DSKULKARNI,DS Kulkarni Developers Limited,NSE,INE891A01022
DSSL,Dynacons Systems & Solutions Limited,NSE,INE417B01040
DTIL,Dhunseri Tea & Industries Limited,NSE,INE341R01014
DUCON,Ducon Infratechnologies Limited,NSE,INE741L01018
DVL,Dhunseri Ventures Limited,NSE,INE477B01010
DWARKESH,Dwarikesh Sugar Industries Limited,NSE,INE366A01041
DYCL,Dynamic Cables Limited,NSE,INE600Y01019
DYNAMATECH,Dynamatic Technologies Limited,NSE,INE221B01012
DYNPRO,Dynemic Products Limited,NSE,INE256H01015
E2E,E2E Networks Limited,NSE,INE255Z01027
EASEMYTRIP,Easy Trip Planners Limited,NSE,INE07O001026
EASTSILK,Eastern Silk Industries Limited,NSE,INE962C01035
EASTWEST,East West Freight Carriers Limited,NSE,INE595R01023
EBGNG,GNG Electronics Limited,NSE,INE18JU01028
EBIX,EBIX Limited,NSE,INE432F01032
ECLERX,eClerx Services Limited,NSE,INE738I01010
ECORECO,Eco Recycling Limited,NSE,INE316A01038
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,NSE,INE06HJ01020
EDELWEISS,Edelweiss Financial Services Limited,NSE,INE532F01054
EFCIL,EFC (I) Limited,NSE,INE886D01026
EICHERMOT,Eicher Motors Limited,NSE,INE066A01021
EIDPARRY,EID Parry India Limited,NSE,INE126A01031
EIEL,Enviro Infra Engineers Limited,NSE,INE0LLY01014
EIFFL,Euro India Fresh Foods Limited,NSE,INE546V01010
EIHAHOTELS,EIH Associated Hotels Limited,NSE,INE276C01014
EIHOTEL,EIH Limited,NSE,INE230A01023
EIMCOELECO,Eimco Elecon (India) Limited,NSE,INE158B01016
EKC,Everest Kanto Cylinder Limited,NSE,INE184H01027
EKI,EKI Energy Services Limited,NSE,INE0CPR01018
ELANTAS,Elantas Beck India Limited,NSE,INE280B01018
ELCIDIN,EL CID Investments Limited,NSE,INE927X01018
ELDEHSG,Eldeco Housing And Industries Limited,NSE,INE668G01021
ELECON,Elecon Engineering Company Limited,NSE,INE205B01031
ELECTCAST,Electrosteel Castings Limited,NSE,INE086A01029
ELECTHERM,Electrotherm (India) Limited,NSE,INE822G01016
ELGIEQUIP,Elgi Equipments Limited,NSE,INE285A01027
ELGIRUBCO,Elgi Rubber Company Limited,NSE,INE819L01012
ELIN,Elin Electronics Limited,NSE,INE050401020
ELITECON,Elitecon International Limited,NSE,INE669R01026
ELLEN,Ellenbarrie Industrial Gases Limited,NSE,INE236E01022
ELPROINTL,Elpro International Limited,NSE,INE579B01039
EMAMILTD,Emami Limited,NSE,INE548C01032
EMAMIPAP,Emami Paper Mills Limited,NSE,INE830C01026
EMAMIREAL,Emami Realty Limited,NSE,INE778K01012
EMBDL,Embassy Developments Limited,NSE,INE069I01010
EMCURE,Emcure Pharmaceuticals Limited,NSE,INE168P01015
EMIL,Electronics Mart India Limited,NSE,INE02YR01019
EMKAY,Emkay Global Financial Services Limited,NSE,INE296H01011
EMMBI,Emmbi Industries Limited,NSE,INE753K01015
EMMVEE,Emmvee Photovoltaic Power Limited,NSE,INE1C6T01020
EMPIND,Empire Industries Limited,NSE,INE515H01014
EMPOWER,Empower India Limited,NSE,INE507F01023
EMSLIMITED,EMS Limited,NSE,INE0OV601013
EMUDHRA,eMudhra Limited,NSE,INE01QM01018
ENDURANCE,Endurance Technologies Limited,NSE,INE913H01037
ENERGYDEV,Energy Development Company Limited,NSE,INE306C01019
ENGINERSIN,Engineers India Limited,NSE,INE510A01028
ENIL,Entertainment Network (India) Limited,NSE,INE265F01028
ENKEIWHEL,Enkei Wheels (India) Limited,NSE,INE130L01014
ENRIN,Siemens Energy India Limited,NSE,INE1NPP01017
ENTERO,Entero Healthcare Solutions Limited,NSE,INE010601016
EPACK,EPACK Durable Limited,NSE,INE0G5901015
EPACKPEB,EPack Prefab Technologies Limited,NSE,INE0MLS01022
EPIGRAL,Epigral Limited,NSE,INE071N01016
EPL,EPL Limited,NSE,INE255A01020
EQUIPPP,Equippp Social Impact Technologies Limited,NSE,INE217G01035
EQUITASBNK,Equitas Small Finance Bank Limited,NSE,INE063P01018
ERIS,Eris Lifesciences Limited,NSE,INE406M01024
ESABINDIA,Esab India Limited,NSE,INE284A01012
ESAFSFB,ESAF Small Finance Bank Limited,NSE,INE818W01011
ESCORTS,Escorts Kubota Limited,NSE,INE042A01014
ESSARSHPNG,Essar Shipping Limited,NSE,INE122M01019
ESSENTIA,Integra Essentia Limited,NSE,INE418N01035
ESTER,Ester Industries Limited,NSE,INE778B01029
ETERNAL,ETERNAL LIMITED,NSE,INE758T01015
ETHOSLTD,Ethos Limited,NSE,INE04TZ01018
EUREKAFORB,Eureka Forbes Limited,NSE,INE0KCE01017
EUROBOND,Euro Panel Products Limited,NSE,INE505V01016
EUROPRATIK,Euro Pratik Sales Limited,NSE,INE198501012
EUROTEXIND,Eurotex Industries and Exports Limited,NSE,INE022C01012
EVEREADY,Eveready Industries India Limited,NSE,INE128A01029
EVERESTIND,Everest Industries Limited,NSE,INE295A01018
EXCELINDUS,Excel Industries Limited,NSE,INE369A01029
EXCELSOFT,Excelsoft Technologies Limited,NSE,INE606N01019
EXICOM,Exicom Tele-Systems Limited,NSE,INE777F01014
EXIDEIND,Exide Industries Limited,NSE,INE302A01020
EXPLEOSOL,Expleo Solutions Limited,NSE,INE201K01015
EXXARO,Exxaro Tiles Limited,NSE,INE0GFE01026
FABTECH,Fabtech Technologies Limited,NSE,INE0HF201011
FACT,Fertilizers and Chemicals Travancore Limited,NSE,INE188A01015
FAIRCHEMOR,Fairchem Organics Limited,NSE,INE0DNW01011
FAZE3Q,Faze Three Limited,NSE,INE963C01033
FCL,Fineotex Chemical Limited,NSE,INE045J01034
FCSSOFT,FCS Software Solutions Limited,NSE,INE512B01022
FDC,FDC Limited,NSE,INE258B01022
FEDDERSHOL,Fedders Holding Limited,NSE,INE417D01020
FEDERALBNK,The Federal Bank  Limited,NSE,INE171A01029
FEDFINA,Fedbank Financial Services Limited,NSE,INE007N01010
FEL,Future Enterprises Limited,NSE,INE623B01027
FELDVR,Future Enterprises Limited,NSE,IN9623B01058
FERMENTA,Fermenta Biotech Limited,NSE,INE225B01021
FIBERWEB,Fiberweb (India) Limited,NSE,INE296C01020
FIEMIND,Fiem Industries Limited,NSE,INE737H01014
FILATEX,Filatex India Limited,NSE,INE816B01035
FILATFASH,Filatex Fashions Limited,NSE,INE185E01021
FINCABLES,Finolex Cables Limited,NSE,INE235A01022
FINEORG,Fine Organic Industries Limited,NSE,INE686Y01026
FINKURVE,Finkurve Financial Services Limited,NSE,INE734I01027
FINOPB,Fino Payments Bank Limited,NSE,INE02NC01014
FINPIPE,Finolex Industries Limited,NSE,INE183A01024
FIRSTCRY,Brainbees Solutions Limited,NSE,INE02RE01045
FISCHER,Fischer Medical Ventures Limited,NSE,INE771F01041
FIVESTAR,Five-Star Business Finance Limited,NSE,INE128S01021
FLAIR,Flair Writing Industries Limited,NSE,INE00Y201027
FLEXITUFF,Flexituff Ventures International Limited,NSE,INE060J01017
FLFL,Future Lifestyle Fashions Limited,NSE,INE452O01016
FLUOROCHEM,Gujarat Fluorochemicals Limited,NSE,INE09N301011
FMGOETZE,Federal-Mogul Goetze (India) Limited.,NSE,INE529A01010
FMNL,Future Market Networks Limited,NSE,INE360L01017
FOCUS,Focus Lighting and Fixtures Limited,NSE,INE593W01028
FOODSIN,Foods & Inns Limited,NSE,INE976E01023
FORCEMOT,FORCE MOTORS LTD,NSE,INE451A01017
FORTIS,Fortis Healthcare Limited,NSE,INE061F01013
FOSECOIND,Foseco India Limited,NSE,INE519A01011
FRACTAL,Fractal Analytics Limited,NSE,INE212S01015
FREDUN,Fredun Pharmaceuticals Limited,NSE,INE194R01017
FRONTSP,Frontier Springs Limited,NSE,INE572D01014
FSL,Firstsource Solutions Limited,NSE,INE684F01012
FUSION,Fusion Finance Limited,NSE,INE139R01012
GABRIEL,Gabriel India Limited,NSE,INE524A01029
GAEL,Gujarat Ambuja Exports Limited,NSE,INE036B01030
GAIL,GAIL (India) Limited,NSE,INE129A01019
GAJA,Gaja Alternative Asset Management Limited,NSE,INE18UN01038
GALAPREC,Gala Precision Engineering Limited,NSE,INE0RE001014
GALAXYSURF,Galaxy Surfactants Limited,NSE,INE600K01018
GALLANTT,Gallantt Ispat Limited,NSE,INE297H01019
GANDHAR,Gandhar Oil Refinery (India) Limited,NSE,INE717W01049
GANDHITUBE,Gandhi Special Tubes Limited,NSE,INE524B01027
GANECOS,Ganesha Ecosphere Limited,NSE,INE845D01014
GANESHBE,Ganesh Benzoplast Limited,NSE,INE388A01029
GANESHCP,Ganesh Consumer Products Limited,NSE,INE652V01016
GANESHHOU,GANESH HOUSING LIMITED,NSE,INE460C01014
GANGAFORGE,Ganga Forging Limited,NSE,INE691Z01023
GANGESSECU,Ganges Securities Limited,NSE,INE335W01016
GARFIBRES,Garware Technical Fibres Limited,NSE,INE276A01018
GARUDA,Garuda Construction and Engineering Limited,NSE,INE0JVO01026
GATECH,GACM Technologies Limited,NSE,INE224E01028
GATECHDVR,GACM Technologies Limited,NSE,INE224E01036
GATEWAY,Gateway Distriparks Limited,NSE,INE079J01017
GAUDIUMIVF,Gaudium IVF and Women Health Limited,NSE,INE0P8B01020
GAYAHWS,Gayatri Highways Limited,NSE,INE287Z01012
GAYAPROJ,Gayatri Projects Limited,NSE,INE336H01023
GCSL,Gretex Corporate Services Limited,NSE,INE199P01028
GEECEE,GeeCee Ventures Limited,NSE,INE916G01016
GEEKAYWIRE,Geekay Wires Limited,NSE,INE669X01032
GEMAROMA,Gem Aromatics Limited,NSE,INE06XZ01023
GENCON,Generic Engineering Construction and Projects Limited,NSE,INE854S01022
GENESYS,Genesys International Corporation Limited,NSE,INE727B01026
GENSOL,Gensol Engineering Limited,NSE,INE06H201014
GENUSPAPER,Genus Paper & Boards Limited,NSE,INE949P01018
GENUSPOWER,Genus Power Infrastructures Limited,NSE,INE955D01029
GEOJITFSL,Geojit Financial Services Limited,NSE,INE007B01023
GESHIP,The Great Eastern Shipping Company Limited,NSE,INE017A01032
GFLLIMITED,GFL Limited,NSE,INE538A01037
GHCL,GHCL Limited,NSE,INE539A01019
GHCLTEXTIL,GHCL Textiles Limited,NSE,INE0PA801013
GICHSGFIN,GIC Housing Finance Limited,NSE,INE289B01019
GICL,Globe International Carriers Limited,NSE,INE947T01022
GICRE,General Insurance Corporation of India,NSE,INE481Y01014
GILLANDERS,Gillanders Arbuthnot & Company Limited,NSE,INE047B01011
GILLETTE,Gillette India Limited,NSE,INE322A01010
GINNIFILA,Ginni Filaments Limited,NSE,INE424C01010
GIPCL,Gujarat Industries Power Company Limited,NSE,INE162A01010
GKB,GKB Ophthalmics Limited,NSE,INE265D01015
GKENERGY,GK Energy Limited,NSE,INE1AG301022
GKSL,Gujarat Kidney And Super Speciality Limited,NSE,INE0V0W01025
GKWLIMITED,GKW Limited,NSE,INE528A01020
GLAND,Gland Pharma Limited,NSE,INE068V01023
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,NSE,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Limited,NSE,INE935A01035
GLFL,Gujarat Lease Financing Limited,NSE,INE540A01017
GLOBAL,Global Education Limited,NSE,INE291W01037
GLOBALE,Globale Tessile Limited,NSE,INE0URU01010
GLOBALVECT,Global Vectra Helicorp Limited,NSE,INE792H01019
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,NSE,INE581X01021
GLOBECIVIL,Globe Civil Projects Limited,NSE,INE0V3U01015
GLOBUSSPR,Globus Spirits Limited,NSE,INE615I01010
GLOSTERLTD,Gloster Limited,NSE,INE350Z01018
GLOTTIS,Glottis Limited,NSE,INE0TQE01026
GMBREW,GM Breweries Limited,NSE,INE075D01018
GMDCLTD,Gujarat Mineral Development Corporation Limited,NSE,INE131A01031
GMMPFAUDLR,GMM Pfaudler Limited,NSE,INE541A01023
GMRAIRPORT,GMR AIRPORTS LIMITED,NSE,INE776C01039
GMRP&UI,GMR Power and Urban Infra Limited,NSE,INE0CU601026
GNA,GNA Axles Limited,NSE,INE934S01014
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,NSE,INE113A01013
GNRL,Gujarat Natural Resources Limited,NSE,INE207H01018
GOACARBON,Goa Carbon Limited,NSE,INE426D01013
GOCLCORP,GOCL Corporation Limited,NSE,INE077F01035
GOCOLORS,Go Fashion (India) Limited,NSE,INE0BJS01011
GODAVARIB,Godavari Biorefineries Limited,NSE,INE497S01012
GODFRYPHLP,Godfrey Phillips India Limited,NSE,INE260B01028
GODIGIT,Go Digit General Insurance Limited,NSE,INE03JT01014
GODREJAGRO,Godrej Agrovet Limited,NSE,INE850D01014
GODREJCP,Godrej Consumer Products Limited,NSE,INE102D01028
GODREJIND,Godrej Industries Limited,NSE,INE233A01035
GODREJPROP,Godrej Properties Limited,NSE,INE484J01027
GOKEX,Gokaldas Exports Limited,NSE,INE887G01027
GOKUL,Gokul Refoils and Solvent Limited,NSE,INE020J01029
GOKULAGRO,Gokul Agro Resources Limited,NSE,INE314T01033
GOLDENTOBC,Golden Tobacco Limited,NSE,INE973A01010
GOLDIAM,Goldiam International Limited,NSE,INE025B01025
GOLDTECH,AION-TECH SOLUTIONS LIMITED,NSE,INE805A01014
GOODLUCK,Goodluck India Limited,NSE,INE127I01024
GOODYEAR,Goodyear India Limited,NSE,INE533A01012
GOPAL,Gopal Snacks Limited,NSE,INE0L9R01028
GOYALALUM,Goyal Aluminiums Limited,NSE,INE705X01026
GPIL,Godawari Power And Ispat limited,NSE,INE177H01039
GPPL,Gujarat Pipavav Port Limited,NSE,INE517F01014
GPTHEALTH,GPT Healthcare Limited,NSE,INE486R01017
GPTINFRA,GPT Infraprojects Limited,NSE,INE390G01014
GRADIENTE,Gradiente Infotainment Limited,NSE,INE361K01017
GRANDOAK,Grand Oak Canyons Distillery Limited,NSE,INE926B01016
GRANULES,Granules India Limited,NSE,INE101D01020
GRAPHITE,Graphite India Limited,NSE,INE371A01025
GRASIM,Grasim Industries Limited,NSE,INE047A01021
GRAUWEIL,Grauer & Weil India Limited,NSE,INE266D01021
GRAVISSHO,Graviss Hospitality Limited,NSE,INE214F01026
GRAVITA,Gravita India Limited,NSE,INE024L01027
GREAVESCOT,Greaves Cotton Limited,NSE,INE224A01026
GREENLAM,Greenlam Industries Limited,NSE,INE544R01021
GREENPANEL,Greenpanel Industries Limited,NSE,INE08ZM01014
GREENPLY,Greenply Industries Limited,NSE,INE461C01038
GREENPOWER,Orient Green Power Company Limited,NSE,INE999K01014
GRINDWELL,Grindwell Norton Limited,NSE,INE536A01023
GRINFRA,G R Infraprojects Limited,NSE,INE201P01022
GRMOVER,GRM Overseas Limited,NSE,INE192H01020
GROBTEA,The Grob Tea Company Limited,NSE,INE646C01018
GROWW,Billionbrains Garage Ventures Limited,NSE,INE0HOQ01053
GRPLTD,GRP Limited,NSE,INE137I01015
GRSE,Garden Reach Shipbuilders & Engineers Limited,NSE,INE382Z01011
GRWRHITECH,Garware Hi-Tech Films Limited,NSE,INE291A01017
GSFC,Gujarat State Fertilizers & Chemicals Limited,NSE,INE026A01025
GSLSU,Global Surfaces Limited,NSE,INE0JSX01015
GSPCROP,GSP Crop Science Limited,NSE,INE713R01022
GSS,GSS Infotech Limited,NSE,INE871H01011
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,NSE,INE586X01012
GTL,GTL Limited,NSE,INE043A01012
GTLINFRA,GTL Infrastructure Limited,NSE,INE221H01019
GTPL,GTPL Hathway Limited,NSE,INE869I01013
GUFICBIO,Gufic Biosciences Limited,NSE,INE742B01025
GUJALKALI,Gujarat Alkalies and Chemicals Limited,NSE,INE186A01019
GUJAPOLLO,Gujarat Apollo Industries Limited,NSE,INE826C01016
GUJENERGY,GUJARAT ENERGY LIMITED,NSE,INE844O01030
