ticker,name,exchange,yf_symbol
543289.BO,Kuberan Global Edu Solutions L,BSE,KGES.BO
543290.BO,POWERGRID Infrastructure Inves,BSE,PGINVIT.BO
543291.BO,Mirae Asset Mutual Fund,BSE,MAFANG.BO
543292.BO,ICICI Prudential Mutual Fund,BSE,HEALTHIETF.BO
543297.BO,Inox Wind Energy Limited,BSE,IWEL.BO
543308.BO,Krishna Institute of Medical S,BSE,KIMS.BO
543319.BO,AA Plus Tradelink Limited,BSE,AAPLUSTRAD.BO
543323.BO,Mirae Asset Mutual Fund,BSE,BFSI.BO
543326.BO,ICICI Prudential Mutual Fund,BSE,FMCGIETF.BO
543341.BO,SHARPLINE BROADCAST LIMITED,BSE,SHARPLINE.BO
543346.BO,Aashka Hospitals Limited,BSE,AASHKA.BO
543347.BO,Axis Mutual Fund,BSE,AXISTECETF.BO
543348.BO,Axis Mutual Fund,BSE,AXISHCETF.BO
543349.BO,Ami Organics Limited,BSE,AMIORG.BO
543351.BO,Naapbooks Limited,BSE,NBL.BO
543357.BO,Axis Mutual Fund,BSE,AXISCETF.BO
543363.BO,Prevest Denpro Limited,BSE,PREVEST.BO
543365.BO,Mirae Asset Mutual Fund,BSE,MASPTOP50.BO
543367.BO,Paras Defence and Space Techno,BSE,PARAS.BO
543372.BO,Getalong Enterprise Limited,BSE,GETALONG.BO
543373.BO,Shri Venkatesh Refineries Limi,BSE,SVRL.BO
543375.BO,Promax Power Limited,BSE,PROMAX.BO
543376.BO,Samor Reality Limited,BSE,SAMOR.BO
543378.BO,CWD Limited,BSE,CWD.BO
543388.BO,DSP Mutual Fund,BSE,EQUAL50ADD.BO
543391.BO,Suyog Gurbaxani Funicular Rope,BSE,SGFRL.BO
543400.BO,Omnipotent Industries Limited,BSE,OMNIPOTENT.BO
543410.BO,DMR Hydroengineering & Infrast,BSE,DMR.BO
543414.BO,Mirae Asset Mutual Fund,BSE,MAHKTECH.BO
543418.BO,Edelweiss Mutual Fund,BSE,BBETF0432.BO
543435.BO,CLARA INDUSTRIES LIMITED,BSE,CLARA.BO
543437.BO,Motilal Oswal Mutual Fund,BSE,MONQ50.BO
543438.BO,DSP Mutual Fund,BSE,MIDQ50ADD.BO
543439.BO,Brandbucket Media & Technology,BSE,BRANDBUCKT.BO
543440.BO,DSP Mutual Fund,BSE,NIFTY50ADD.BO
543443.BO,Ascensive Educare Limited,BSE,ASCENSIVE.BO
543444.BO,FABINO ENTERPRISES LIMITED,BSE,FABINO.BO
543450.BO,ICICI Prudential Mutual Fund,BSE,AUTOIETF.BO
543452.BO,ICICI Prudential Mutual Fund,BSE,SILVERIETF.BO
543453.BO,ALKOSIGN LIMITED,BSE,ALKOSIGN.BO
543454.BO,Mirae Asset Mutual Fund,BSE,MAKEINDIA.BO
543461.BO,Safa Systems & Technologies Li,BSE,SSTL.BO
543462.BO,DEV INFORMATION TECHNOLOGY LIM,BSE,DEVIT.BO
543464.BO,Maruti Interior Products Limit,BSE,SPITZE.BO
543465.BO,Motilal Oswal Mutual Fund,BSE,MOMOMENTUM.BO
543471.BO,Aditya Birla Sun Life Mutual F,BSE,SILVER.BO
543472.BO,Aditya Birla Sun Life Mutual F,BSE,TECH.BO
543473.BO,Aditya Birla Sun Life Mutual F,BSE,HEALTHY.BO
543474.BO,Aditya Birla Sun Life Mutual F,BSE,BSLNIFTY.BO
543475.BO,Ekennis Software Service Limit,BSE,EKENNIS.BO
543481.BO,Mirae Asset Mutual Fund,BSE,MIDCAPETF.BO
543497.BO,Bhatia Colour Chem Limited,BSE,BCCL.BO
543499.BO,Achyut Healthcare Limited,BSE,ACHYUT.BO
543500.BO,Evoq Remedies Limited,BSE,EVOQ.BO
543501.BO,Motilal Oswal Mutual Fund,BSE,MOLOWVOL.BO
543515.BO,Sunrise Efficient Marketing Li,BSE,SEML.BO
543516.BO,DHYAANI TRADEVENTTURES LIMITED,BSE,DHYAANITR.BO
543518.BO,Eighty Jewellers Limited,BSE,EIGHTY.BO
543520.BO,Global Longlife Hospital and R,BSE,GLHRL.BO
543521.BO,Fone4 Communications (India) L,BSE,FONE4.BO
543522.BO,Nanavati Ventures Limited,BSE,NVENTURES.BO
543525.BO,Silver Touch Technologies Limi,BSE,SILVERTUC.BO
543531.BO,Tierra Agrotech Limited,BSE,TIERRA.BO
543536.BO,Silver Pearl Hospitality & Lux,BSE,SILVERPRL.BO
543538.BO,Goel Food Products Limited,BSE,GOEL.BO
543541.BO,SAILANI TOURS N TRAVELS LIMITE,BSE,SAILANI.BO
543542.BO,KESAR INDIA LIMITED,BSE,KESAR.BO
543544.BO,JAYANT INFRATECH LIMITED,BSE,JAYANT.BO
543545.BO,Veerkrupa Jewellers Limited,BSE,VEERKRUPA.BO
543546.BO,HEALTHY LIFE AGRITEC LIMITED,BSE,HEALTHYLIFE.BO
543563.BO,Motilal Oswal Mutual Fund,BSE,MOHEALTH.BO
543568.BO,ICICI Prudential Mutual Fund,BSE,MOM30IETF.BO
543569.BO,HDFC Mutual Fund,BSE,HDFCNIF100.BO
543570.BO,HDFC Mutual Fund,BSE,HDFCNEXT50.BO
543571.BO,ICICI Prudential Mutual Fund,BSE,INFRAIETF.BO
543574.BO,Aditya Birla Sun Life Mutual F,BSE,NIFTYQLITY.BO
543575.BO,Aditya Birla Sun Life Mutual F,BSE,MOMENTUM.BO
543576.BO,Motilal Oswal Mutual Fund,BSE,MOVALUE.BO
543577.BO,Motilal Oswal Mutual Fund,BSE,MOQUALITY.BO
543578.BO,Olatech Solutions Limited,BSE,OLATECH.BO
543592.BO,HDFC Mutual Fund,BSE,HDFCSILVER.BO
543594.BO,DIPNA PHARMACHEM LIMITED,BSE,DPL.BO
543595.BO,EP BIOCOMPOSITES LIMITED,BSE,EPBIO.BO
543605.BO,HDFC Mutual Fund,BSE,HDFCQUAL.BO
543606.BO,CONTAINE TECHNOLOGIES LIMITED,BSE,CONTAINE.BO
543607.BO,HDFC Mutual Fund,BSE,HDFCGROWTH.BO
543608.BO,HDFC Mutual Fund,BSE,HDFCVALUE.BO
543613.BO,MAFIA TRENDS LIMITED,BSE,MAFIA.BO
543615.BO,SILICON RENTAL SOLUTIONS LIMIT,BSE,SRSOLTD.BO
543616.BO,Trident Lifeline Limited,BSE,TLL.BO
543618.BO,Cargotrans Maritime Limited,BSE,CARGOTRANS.BO
543619.BO,Concord Control Systems Limite,BSE,CNCRD.BO
543621.BO,Cargosol Logistics Limited,BSE,CARGOSOL.BO
543622.BO,STEELMAN TELECOM LIMITED,BSE,STML.BO
543625.BO,SecUR Credentials Limited,BSE,SECURCRED.BO
543627.BO,HDFC Mutual Fund,BSE,HDFCLOWVOL.BO
543628.BO,HDFC Mutual Fund,BSE,HDFCMOMENT.BO
543637.BO,PACE E-COMMERCE VENTURES LIMIT,BSE,PACE.BO
543656.BO,Technopack Polymers Limited,BSE,TECHNOPACK.BO
543665.BO,HDFC Mutual Fund,BSE,HDFCNIFIT.BO
543666.BO,HDFC Mutual Fund,BSE,HDFCPVTBAN.BO
543677.BO,ICICI Prudential Mutual Fund,BSE,FINIETF.BO
543678.BO,AMBO AGRITEC LIMITED,BSE,AMBOAGRI.BO
543699.BO,Edelweiss Mutual Fund,BSE,EBBETF0433.BO
543709.BO,PNGS GARGI FASHION JEWELLERY L,BSE,GARGI.BO
543710.BO,ICICI Prudential Mutual Fund,BSE,COMMOIETF.BO
543713.BO,Droneacharya Aerial Innovation,BSE,DRONACHRYA.BO
543715.BO,Indiabulls Enterprises Limited,BSE,IEL.BO
543737.BO,Aveer Foods Limited,BSE,AVEER.BO
543738.BO,DSP Mutual Fund,BSE,BANKETFADD.BO
543744.BO,Rex Sealing and Packing Indust,BSE,REXSEAL.BO
543745.BO,SVS VENTURES LIMITED,BSE,SVS.BO
543746.BO,LOGICA INFOWAY LIMITED,BSE,LOGICA.BO
543754.BO,TRANSVOY LOGISTICS INDIA LIMIT,BSE,TRANSVOY.BO
543765.BO,Earthstahl & Alloys Limited,BSE,EARTH.BO
543769.BO,INDONG TEA COMPANY LIMITED,BSE,INDONG.BO
543774.BO,HDFC Mutual Fund,BSE,HDFCBSE500.BO
543775.BO,HDFC Mutual Fund,BSE,HDFCSML250.BO
543776.BO,HDFC Mutual Fund,BSE,HDFCMID150.BO
543781.BO,Mirae Asset Mutual Fund,BSE,GOLDETF.BO
543782.BO,Sealmatic India Limited,BSE,SEALMATIC.BO
543787.BO,Macfos Limited,BSE,ROBU.BO
543798.BO,Patron Exim Limited,BSE,PATRON.BO
543799.BO,S. V. J. Enterprises Limited,BSE,SVJ.BO
543805.BO,RESGEN LIMITED,BSE,RESGEN.BO
543806.BO,ITCONS E-Solutions Limited,BSE,ITCONS.BO
543813.BO,Aditya Birla Sun Life Mutual F,BSE,ABSLLIQUID.BO
543819.BO,ICICI Prudential Mutual Fund,BSE,PSUBNKIETF.BO
543828.BO,SUDARSHAN PHARMA INDUSTRIES LI,BSE,SUDARSHAN.BO
543830.BO,LABELKRAFT TECHNOLOGIES LIMITE,BSE,LABELKRAFT.BO
543831.BO,Bright Outdoor Media Limited,BSE,BRIGHT.BO
543848.BO,Dev Labtech Venture Limited,BSE,DEVLAB.BO
543858.BO,Mirae Asset Mutual Fund,BSE,LOWVOL.BO
543860.BO,J.A. Finance Limited,BSE,JAFINANCE.BO
543874.BO,Maiden Forgings Limited,BSE,MAIDEN.BO
543875.BO,Mirae Asset Mutual Fund,BSE,GSEC10YEAR.BO
543895.BO,Exhicon Events Media Solutions,BSE,EXHICON.BO
543897.BO,Sancode Technologies Limited,BSE,SANCODE.BO
543900.BO,UTI Mutual Fund,BSE,SILVERETF.BO
543902.BO,Retina Paints Limited,BSE,RETINA.BO
543903.BO,DSP Mutual Fund,BSE,GOLDETFADD.BO
543905.BO,INNOKAIZ INDIA LIMITED,BSE,INNOKAIZ.BO
543913.BO,Nexus Select Trust,BSE,NXST.BO
543916.BO,Hemant Surgical Industries Lim,BSE,HSIL.BO
543920.BO,CFF FLUID CONTROL LIMITED,BSE,CFF.BO
543921.BO,Comrade Appliances Limited,BSE,COMRADE.BO
543922.BO,Mirae Asset Mutual Fund,BSE,SILVRETF.BO
543924.BO,Sonalis Consumer Products Limi,BSE,SONALIS.BO
543926.BO,Bizotic Commercial Limited,BSE,BIZOTIC.BO
543927.BO,Asian Warehousing Limited,BSE,ASIAN.BO
543928.BO,Cosmic CRF Limited,BSE,COSMICCRF.BO
543931.BO,VEEFIN SOLUTIONS LIMITED,BSE,VEEFIN.BO
543934.BO,Machhar Industries Limited,BSE,MACIND.BO
543935.BO,DSP Mutual Fund,BSE,ITETFADD.BO
543937.BO,ALPHALOGIC INDUSTRIES LIMITED,BSE,ALPHAIND.BO
543939.BO,Kaka Industries Limited,BSE,KAKA.BO
543941.BO,AHASOLAR TECHNOLOGIES LIMITED,BSE,AHASOLAR.BO
543943.BO,ASARFI HOSPITAL LIMITED,BSE,ASARFI.BO
543944.BO,Mirae Asset Mutual Fund,BSE,BANKETF.BO
543946.BO,Mirae Asset Mutual Fund,BSE,LIQUID.BO
543947.BO,DSP BSE Sensex ETF,BSE,SENSEXADD.BO
543948.BO,DSP Mutual Fund,BSE,PSUBANKADD.BO
543949.BO,DSP Mutual Fund,BSE,PVTBANKADD.BO
543951.BO,Innovatus Entertainment Networ,BSE,INNOVATUS.BO
543953.BO,Khazanchi Jewellers Limited,BSE,KHAZANCHI.BO
543956.BO,ICICI Prudential Mutual Fund,BSE,QUAL30IETF.BO
543963.BO,SHELTER PHARMA LIMITED,BSE,SHELTER.BO
543971.BO,Bondada Engineering Limited,BSE,BONDADA.BO
543973.BO,HDFC Mutual Fund,BSE,HDFCLIQUID.BO
543975.BO,UTI Mutual Fund,BSE,NIFMID150.BO
543976.BO,Shradha AI Technologies Limite,BSE,SHRAAITECH.BO
543980.BO,Jupiter Life Line Hospitals Li,BSE,JLHL.BO
543982.BO,Meson Valves India Limited,BSE,MESON.BO
543987.BO,Navi Mutual Fund,BSE,NAVINIFTY.BO
543988.BO,Nuvama Wealth Management Limit,BSE,NUVAMA.BO
543991.BO,TECHKNOWGREEN SOLUTIONS LIMITE,BSE,TECHKGREEN.BO
543997.BO,ORGANIC RECYCLING SYSTEMS LIMI,BSE,ORGANICREC.BO
543999.BO,Mirae Asset Mutual Fund,BSE,SENSEXETF.BO
544001.BO,Sunita Tools Limited,BSE,SUNITATOOL.BO
544006.BO,Mirae Asset Mutual Fund,BSE,ITETF.BO
544007.BO,Mirae Asset Mutual Fund,BSE,ALPHAETF.BO
544011.BO,Vrundavan Plantation Limited,BSE,VPL.BO
544013.BO,KK Shah Hospitals Limited,BSE,KKSHL.BO
544015.BO,Mish Designs Limited,BSE,MISHDESIGN.BO
544023.BO,Kalyani Cast-Tech Limited,BSE,KALYANI.BO
544035.BO,Swashthik Plascon Limited,BSE,SPL.BO
544036.BO,DEEPAK CHEMTEX LIMITED,BSE,DEEPAKCHEM.BO
544037.BO,Amic Forging Limited,BSE,AMIC.BO
544047.BO,Siyaram Recycling Industries L,BSE,SIYARAM.BO
544052.BO,Benchmark Computer Solutions L,BSE,BENCHMARK.BO
