ticker,name,sector,price,market_cap,pe,pb,roe_pct,de,eps,earnings_yield,dividend_yield_pct,profit_margin,rev_growth,ni_growth,debt_growth,years_of_data,revenue_y0,revenue_y1,revenue_y2,revenue_y3,net_income_y0,net_income_y1,net_income_y2,net_income_y3,total_debt_y0,total_debt_y1,total_debt_y2,total_debt_y3,equity_y0,equity_y1,equity_y2,equity_y3,roe_y0,roe_y1,roe_y2,roe_y3,de_y0,de_y1,de_y2,de_y3,cash_conversion,earnings_spike,non_op_pct,quality_pass,graham_pass,greenblatt_pass,dorsey_pass,trajectory_pass,score,updated_date
503689.BO,"503689.BO,0P00014NEI,0",,3.2,,,,,,,,,,-42.15,-489.66,,4,1956000.0,3381000.0,857000.0,7660000.0,-5876000.0,1508000.0,-573000.0,4220000.0,,,,,212311000.0,216908000.0,160475000.0,134840000.0,-2.77,0.7,-0.36,3.13,,,,,,-3.9,,True,False,False,False,False,0,2026-06-22
503772.BO,"503772.BO,0P0000BJE4,15",,71.12,67875440.0,,-39.665367,,,,,,,,15.85,,5,0.0,0.0,0.0,0.0,-1995000.0,-1722000.0,-1283000.0,15625000.0,0.0,0.0,0.0,0.0,-5328000.0,-3333000.0,-1610660.0,-327410.0,,,,,,,,,,,,True,False,False,False,False,0,2026-06-22
503776.BO,"503776.BO,0P0000BH1Q,308",,70.98,821714176.0,,-0.9021582,,,,,,,,-22.84,1.68,5,0.0,0.0,0.0,0.0,-5105000.0,-6616000.0,-5838000.0,-6091000.0,458503000.0,450936000.0,448116000.0,446006000.0,-922556000.0,-917451000.0,-910835000.0,-904997000.0,,,,,,,,,,,,True,False,False,False,False,0,2026-06-22
503804.BO,"503804.BO,0P0000CBRI,12825",,536.45,3043828224.0,6.6449895,2.143194,,,,15.05,,,1.8,-27.54,-50.16,5,677209000.0,665266000.0,671242000.0,981712000.0,76004000.0,104892000.0,505477000.0,238456000.0,23794000.0,47743000.0,241594000.0,139718000.0,2002852000.0,1943563000.0,2015264000.0,1571754000.0,3.79,5.4,25.08,15.17,1.19,2.46,11.99,8.89,0.4,0.25,94.56,False,False,False,False,True,1,2026-06-22
503816.BO,"503816.BO,0P0000BP1W,25610",,134.5,5266791424.0,11.042693,4.8235545,,,,9.06,,,-96.55,83.47,,5,138000.0,4000000.0,992566000.0,443356000.0,41757000.0,22759000.0,823516000.0,348470000.0,,,,,1151981000.0,1110224000.0,1087465000.0,263949000.0,3.62,2.05,75.73,132.02,,,,,-1.53,0.1,,False,False,False,False,False,0,2026-06-22
503837.BO,"503837.BO,0P0000BBQ1,0",,11.91,333626496.0,0.2627399,2.52384,,,,380.6,,,4.16,-43.8,-59.04,5,138608000.0,133074000.0,252869000.0,516353000.0,-80764000.0,-143700000.0,1121567000.0,-433002000.0,51483000.0,125700000.0,125098000.0,917073000.0,76038000.0,-8600000.0,132201000.0,-1139685000.0,-106.22,,848.38,,67.71,,94.63,,,-0.07,,True,False,False,False,True,1,2026-06-22
503863.BO,"503863.BO,0P0000TEHJ,0",,14.11,117116944.0,,-4.6277466,,,,,,,,8682.35,5.9,5,0.0,0.0,0.0,0.0,-1493000.0,-17000.0,-3360395.0,-2653000.0,24669000.0,23294000.0,20336191.0,17047000.0,-26814000.0,-25320939.0,-25303977.0,-21944000.0,,,,,,,,,,,,True,False,False,False,False,0,2026-06-22
503893.BO,"503893.BO,0P0000AR7U,0",,3.48,,,,,,,,,,,-62.67,,5,122219000.0,0.0,2623000.0,3672000.0,2935000.0,7863000.0,6873000.0,-822000.0,0.0,0.0,0.0,,251242000.0,246806000.0,262952000.0,210160000.0,1.17,3.19,2.61,-0.39,,,,,-2.68,0.4,-356.8,False,False,False,False,False,0,2026-06-22
504028.BO,"504028.BO,0P0000CHBY,946",,126.95,3299239936.0,36.37536,1.6149961,,,,2.75,,,10.58,-240.67,-21.77,5,3691388000.0,3338350000.0,3685687000.0,3947479000.0,129986000.0,-92403000.0,128557000.0,85094000.0,636706000.0,813888000.0,816136000.0,871618000.0,2150124000.0,1935477000.0,2042884000.0,1930018000.0,6.05,-4.77,6.29,4.41,29.61,42.05,39.95,45.16,-0.81,1.01,-127.46,False,False,False,False,True,1,2026-06-22
504076.BO,"504076.BO,0P0000AI64,13227",,81.63,1885048832.0,18.510204,-3.376489,,,,5.4,,,12.91,11.15,-5.21,5,2765300000.0,2449200000.0,1750139000.0,1534477000.0,180400000.0,162300000.0,84365000.0,46233000.0,2092500000.0,2207500000.0,2417500000.0,2550000000.0,-210400000.0,-396028000.0,-558281000.0,-643490000.0,,,,,,,,,0.88,1.46,-0.55,True,False,False,False,True,1,2026-06-22
